Ticker,Preço,Market Cap,FCO,Adjusted FCO,Capex,Capex (Raw),Depreciação,Ajuste Expansão,Juros,Impostos,Arrendamentos,FCF,FCF Yield,Rev Growth 5Y,Setor,Status
TMO,526.02,195480289280,7818000000.0,7818000000.0,-1525000000.0,-1525000000.0,2780000000.0,False,1419000000.0,547000000.0,0.0,4327000000.0,0.022135224047075852,-0.0026639607700198464,Healthcare,🔴 Caro
AMGN,350.16,188759932928,9958000000.0,9958000000.0,-1858000000.0,-1858000000.0,5167000000.0,False,2755000000.0,1265000000.0,0.0,4080000000.0,0.021614756567837214,0.11766399097603264,Healthcare,🔴 Caro
AXP,329.87,226493366272,18428000000.0,18428000000.0,-2425000000.0,-2425000000.0,1777000000.0,False,8234000000.0,2962000000.0,3000000.0,4804000000.0,0.021210334232176976,0.10966360326420155,Financial Services,🔴 Caro
DIS,106.3,188511043584,18101000000.0,18101000000.0,-8024000000.0,-8024000000.0,5326000000.0,False,1812000000.0,1428000000.0,2851000000.0,3986000000.0,0.021144649799913973,0.045093923223104904,Communication Services,🔴 Caro
CVX,183.25,365015433216,33939000000.0,33939000000.0,-17347000000.0,-17347000000.0,20457000000.0,False,1217000000.0,7258000000.0,1445000000.0,6672000000.0,0.018278679181358903,-0.07852874895364959,Energy,🔴 Caro
PEP,156.99,214596059136,12087000000.0,12087000000.0,-4415000000.0,-4415000000.0,4178000000.0,False,1121000000.0,1949000000.0,719000000.0,3883000000.0,0.01809446089380026,0.028259092561689236,Consumer Defensive,🔴 Caro
EOG,129.16,69293244416,10044000000.0,10044000000.0,-6594000000.0,-6594000000.0,4461000000.0,False,235000000.0,1382000000.0,589000000.0,1244000000.0,0.017952688035960358,-0.08514403108878354,Energy,🔴 Caro
HBSA3.SA,3.67,4992604160,1055645000.0,1055645000.0,-316677000.0,-316677000.0,371933000.0,False,272656000.0,131837000.0,247140000.0,87335000.0,0.01749287490078124,0.08226708056509158,Industrials,🔴 Caro
NFLX,94.83,400387637248,10149273000.0,10149273000.0,-688220000.0,-688220000.0,16755555000.0,False,776510000.0,1741351000.0,0.0,6943192000.0,0.017341174786821373,0.12639718371360664,Communication Services,🔴 Caro
NEM,114.84,124931465216,10334000000.0,10334000000.0,-3035000000.0,-3035000000.0,2521000000.0,False,229000000.0,4596000000.0,474000000.0,2000000000.0,0.01600877726473554,0.23911830284606483,Basic Materials,🔴 Caro
AAPL,273.05,4013268402176,111482000000.0,111482000000.0,-12715000000.0,-12715000000.0,11698000000.0,False,3933000000.0,20719000000.0,12842000000.0,61273000000.0,0.015267605816440707,0.01812535743479393,Technology,🔴 Caro
NVDA,202.06,4911068086272,102718000000.0,102718000000.0,-6042000000.0,-6042000000.0,2843000000.0,False,259000000.0,21383000000.0,2572000000.0,72462000000.0,0.014754835145241495,1.0004509499443963,Technology,🔴 Caro
SCHW,93.15,163218407424,9311000000.0,9311000000.0,-548000000.0,-548000000.0,1362000000.0,False,3754000000.0,2607000000.0,37000000.0,2365000000.0,0.01448978725699933,0.048342956030810846,Financial Services,🔴 Caro
HON,229.74,145575477248,6408000000.0,6408000000.0,-986000000.0,-986000000.0,1388000000.0,False,1344000000.0,1008000000.0,983000000.0,2087000000.0,0.014336205791340947,0.0182371617394117,Industrials,🔴 Caro
WM,224.18,90419814400,6043000000.0,6043000000.0,-3227000000.0,-3227000000.0,2863000000.0,False,912000000.0,717000000.0,0.0,1187000000.0,0.013127653577665384,0.08563152473174229,Industrials,🔴 Caro
